action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25060836,[],CHEMBL5250357,Inhibition of rat AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,,,CHEMBL5247623,Eur J Med Chem,2022,"{'bei': '14.75', 'le': '0.27', 'lle': '1.57', 'sei': '10.61'}",CHEMBL478629,DORSOMORPHIN,CHEMBL478629,5.89,0,http://www.openphacts.org/units/Nanomolar,3927906,=,1,1,=,,IC50,nM,,1280.0,CHEMBL4524016,Rattus norvegicus,"AMP-activated protein kinase, AMPK",10116,,,IC50,uM,UO_0000065,,1.28
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25060837,[],CHEMBL5250357,Inhibition of rat AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,,,CHEMBL5247623,Eur J Med Chem,2022,"{'bei': '18.09', 'le': '0.34', 'lle': '3.88', 'sei': '9.33'}",CHEMBL535,SUNITINIB,CHEMBL535,7.21,0,http://www.openphacts.org/units/Nanomolar,3927908,=,1,1,=,,IC50,nM,,62.0,CHEMBL4524016,Rattus norvegicus,"AMP-activated protein kinase, AMPK",10116,,,IC50,nM,UO_0000065,,62.0
,,1173972,[],CHEMBL641196,Inhibition of AMP-activated Protein Kinase,B,,,BAO_0000190,BAO_0000223,protein complex format,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,,,CHEMBL1136753,J Med Chem,2003,,CHEMBL281957,,CHEMBL281957,,0,http://www.openphacts.org/units/Nanomolar,39786,>,1,1,>,,IC50,nM,,1000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,1.0
,,1715701,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL437885,,CHEMBL437885,,0,http://www.openphacts.org/units/Nanomolar,474534,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716003,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207815,,CHEMBL207815,,0,http://www.openphacts.org/units/Nanomolar,474567,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716004,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL425601,,CHEMBL425601,,0,http://www.openphacts.org/units/Nanomolar,474566,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716005,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207718,,CHEMBL207718,,0,http://www.openphacts.org/units/Nanomolar,474565,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716006,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL383246,,CHEMBL383246,,0,http://www.openphacts.org/units/Nanomolar,474564,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716007,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL207130,,CHEMBL207130,,0,http://www.openphacts.org/units/Nanomolar,474563,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
,,1716008,[],CHEMBL870117,Inhibition of AMPK,B,,,BAO_0000190,BAO_0000223,protein complex format,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,,,CHEMBL1147701,Bioorg Med Chem Lett,2006,,CHEMBL380889,,CHEMBL380889,,0,http://www.openphacts.org/units/Nanomolar,474562,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096907,Homo sapiens,"AMP-activated protein kinase, AMPK",9606,,,IC50,uM,UO_0000065,,10.0
