molecule_chembl_id,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL535,active,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,398.48200000000014,3.3349400000000013,3,3,7.2076083105017466
CHEMBL281957,active,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,484.4310000000002,6.540920000000006,2,6,6.0
CHEMBL437885,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,386.8580000000003,4.770300000000004,1,5,5.0
CHEMBL207815,inactive,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,502.97800000000024,2.7924000000000007,2,8,5.0
CHEMBL425601,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,486.9790000000004,3.554400000000003,2,7,5.0
CHEMBL207718,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,458.92500000000035,2.775800000000001,2,7,5.0
CHEMBL383246,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,515.0330000000004,4.334600000000004,2,7,5.0
CHEMBL207130,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,486.97900000000044,3.5560000000000027,2,7,5.0
CHEMBL380889,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,460.9410000000003,3.0218000000000007,2,7,5.0
CHEMBL207445,inactive,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,461.9250000000001,3.4967000000000015,2,7,5.0
CHEMBL379905,inactive,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,447.8980000000002,3.106600000000002,2,7,5.0
CHEMBL208286,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,433.87100000000027,2.4525,3,7,5.0
CHEMBL376967,inactive,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,474.96800000000036,3.411900000000002,2,7,5.0
CHEMBL382823,inactive,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,461.92500000000024,3.4967000000000006,2,7,5.0
